TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;569566188.24;;;SCP;DOL X PRE
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;36189102.89;;;SDE;DI1 X REU
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;89836077.49;;;Outros;999 X 999
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;748106760.60;;;Outros;999 X 999
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;608357741.79;;;SDC;DI1 X DOL
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;966877574.10;;;SDP;DI1 X PRE
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1266475470.09;;;SDL;DI1 X IAP
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;255927660.13;;;SCP;DOL X PRE
CLASSES - FIF;11.886.391/0001-00;CLASSE A DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;610200.98;;;SDP;DI1 X PRE
CLASSES - FIF;15.037.582/0001-58;BB PREV PÚBLICO RF FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;136209318.00;;;SDM;DI1 X IGM
CLASSES - FIF;15.037.582/0001-58;BB PREV PÚBLICO RF FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;72229682.00;;;SFD;IPC X DI1
CLASSES - FIF;15.740.377/0001-54;SANTANDER DIAMANTINA MULTIMERCADO CRÉDITO PRIVADO - FIF;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3881806933.32;;;SDP;DI1 X PRE
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;170497.49;;;Outros;999 X 999
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;11272532.08;;;Outros;999 X 999
CLASSES - FIF;28.077.946/0001-75;PRATA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;Outros;999 X 999
CLASSES - FIF;29.045.966/0001-27;JIANG FIF - CI MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1834123.77;;;SCE;DOL X REU
CLASSES - FIF;29.045.966/0001-27;JIANG FIF - CI MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;14435954.64;;;SDP;DI1 X PRE
CLASSES - FIF;29.045.966/0001-27;JIANG FIF - CI MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;73851686.04;;;Outros;999 X 999
CLASSES - FIF;29.045.966/0001-27;JIANG FIF - CI MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;11925169.59;;;SDP;DI1 X PRE
CLASSES - FIF;29.045.966/0001-27;JIANG FIF - CI MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;30736105.01;;;Outros;999 X 999
CLASSES - FIF;30.102.276/0001-41;SANTANDER HERMES RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA - FIF;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;141056993.23;;;SDL;DI1 X IAP
CLASSES - FIF;30.102.276/0001-41;SANTANDER HERMES RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA - FIF;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;128858202.70;;;SDL;DI1 X IAP
CLASSES - FIF;32.708.144/0001-93;SANTANDER PB ORITA MULT - FIF RESP LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;275172.12;;;SDP;DI1 X PRE
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;107781207.40;;;Outros;999 X 999
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;68934.82;;;SDP;DI1 X PRE
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3712959.90;;;SYP;JPY X PRE
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;52872599.35;;;SDC;DI1 X DOL
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;11000735.13;;;SDY;DI1 X JPY
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;107781207.40;;;Outros;999 X 999
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;68934.82;;;SDP;DI1 X PRE
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3712959.90;;;SYP;JPY X PRE
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;11000735.13;;;SDY;DI1 X JPY
CLASSES - FIF;33.701.422/0001-43;MIZUHO BRAZIL FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO - INVESTIMENTO NO EXTERIOR;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;52872599.35;;;SDC;DI1 X DOL
CLASSES - FIF;33.913.576/0001-07;DB II CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1615878.39;;;SDP;DI1 X PRE
CLASSES - FIF;33.913.576/0001-07;DB II CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;349571819.87;;;SCP;DOL X PRE
CLASSES - FIF;33.913.576/0001-07;DB II CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1304812112.43;;;SDC;DI1 X DOL
CLASSES - FIF;33.913.576/0001-07;DB II CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;105979111.54;;;Outros;999 X 999
CLASSES - FIF;33.913.576/0001-07;DB II CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3005167.43;;;SDP;DI1 X PRE
CLASSES - FIF;33.913.576/0001-07;DB II CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1177938695.81;;;SDC;DI1 X DOL
CLASSES - FIF;33.913.576/0001-07;DB II CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;332094456.93;;;SCP;DOL X PRE
CLASSES - FIF;33.913.576/0001-07;DB II CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;138157121.48;;;Outros;999 X 999
CLASSES - FIF;35.690.218/0001-08;BB MULTIMERCADO OURO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2025-08-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;41725217.52;;;SCO;DOL X OZ1
CLASSES - FIF;35.803.219/0001-03;G5 MONACO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-08-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1376671.02;;;SDP;DI1 X PRE
